id_dato,tema,subtema,variable,valor_texto,valor_numerico,valor_min,valor_max,operador,unidad,fase_escenario,receptor_localizacion,version_documental,estado_version,id_documento,fuente_documento,pagina_pdf,seccion_tabla,actor_fuente,tipo_evidencia,estado_verificacion,contexto,relacion_cambio,caveat
DAT079,generadores,chimenea,Altura de chimeneas del nuevo modelo,"12,2",12.2,,,=,m,operación,,respuesta SIC enero 2024,vigente en expediente,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,2,Respuesta a SIC 02,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT080,generadores,mantenimiento,Carga de mantenimiento de generadores,75,75,,,=,% de carga,operación normal / mantenimiento,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,17,4.2.2 Ruido / mantenimiento,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT081,generadores,mantenimiento,Duración mensual para generadores de 2.750 kW,45,45,,,=,min/mes,operación normal / mantenimiento,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,17,4.2.2 Ruido / mantenimiento,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT082,generadores,mantenimiento,Duración mensual para generadores de 1.000 kW,30,30,,,=,min/mes,operación normal / mantenimiento,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,17,4.2.2 Ruido / mantenimiento,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT083,generadores,mantenimiento,Número simultáneo en mantenimiento,1,1,,,=,generador,operación normal / mantenimiento,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,17,4.2.2 Ruido / mantenimiento,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT084,generadores,combustible,Frecuencia estimada de abastecimiento de combustible,2,2,,,=,veces/año,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,6,2.4.3 Insumos,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT085,generadores,combustible,Autonomía mínima de combustible por depósito integrado,24,24,,,=,h,emergencia,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,56,5.3 Generadores de emergencia,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT086,generadores,emisiones,Certificación de emisiones prevista,US EPA Tier 2,,,,=,certificación,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,7,2.4.4 Emisiones a la atmósfera,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT087,generadores,combustible,Combustible previsto,diésel de bajo contenido de azufre,,,,=,categórico,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,51,Tabla 5-4 / emisiones,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT088,aire,concentración en emisión,NOx — generadores DC (EYD/MYD),946,946,,,=,mg/Nm3,operación normal / mantenimiento,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,51,Tabla 5-4,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,Valores corregidos a 15% O2 seco.,,
DAT089,aire,concentración en emisión,PM — generadores DC (EYD/MYD),12,12,,,=,mg/Nm3,operación normal / mantenimiento,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,51,Tabla 5-4,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,Valores corregidos a 15% O2 seco.,,
DAT090,aire,concentración en emisión,SO2 — generadores DC (EYD/MYD),"0,28",0.28,,,=,mg/Nm3,operación normal / mantenimiento,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,51,Tabla 5-4,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,Valores corregidos a 15% O2 seco.,,
DAT091,aire,concentración en emisión,NOx — generadores edificios auxiliares,777,777,,,=,mg/Nm3,operación normal / mantenimiento,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,51,Tabla 5-4,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,Valores corregidos a 15% O2 seco.,,
DAT092,aire,concentración en emisión,PM — generadores edificios auxiliares,22,22,,,=,mg/Nm3,operación normal / mantenimiento,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,51,Tabla 5-4,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,Valores corregidos a 15% O2 seco.,,
DAT093,aire,concentración en emisión,SO2 — generadores edificios auxiliares,"0,3",0.3,,,=,mg/Nm3,operación normal / mantenimiento,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,51,Tabla 5-4,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,Valores corregidos a 15% O2 seco.,,
DAT094,aire,norma,Límite NOx Decreto 135/021 usado en comparación,1.850,1850,,,=,mg/Nm3,operación normal / mantenimiento,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,51,Tabla 5-4,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT095,aire,norma,Límite PM Decreto 135/021 usado en comparación,50,50,,,=,mg/Nm3,operación normal / mantenimiento,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,51,Tabla 5-4,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT096,aire,norma,Límite SO2 Decreto 135/021 usado en comparación,600,600,,,=,mg/Nm3,operación normal / mantenimiento,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,51,Tabla 5-4,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT097,aire,modelación riesgo,Promedio anual de excedencia AEGL1 en zona más comprometida,"0,003",0.003,,,<,h/año,emergencia,,respuesta SIC enero 2024,vigente en expediente,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,32,Análisis de riesgo NO2,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,"La respuesta traduce además a 0,18 min/año en promedio.",,
DAT098,aire,modelación riesgo,Probabilidad de excedencia AEGL1 reportada,"2,5E-5",0.000025,,,=,%,emergencia,,respuesta SIC enero 2024,vigente en expediente,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,32,Análisis de riesgo NO2,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT099,aire,modelación,Concentración de fondo PM10 usada,"25,8",25.8,,,=,µg/m3,operación normal,,respuesta SIC enero 2024,vigente en expediente,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,9,Resumen modelación operación normal,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,La respuesta indica que el fondo ya supera el estándar anual usado de 20 µg/m3.,,
DAT100,aire,modelación,Aporte máximo anual modelado de PM10 del proyecto,"0,0041",0.0041,,,=,µg/m3,operación normal,,respuesta SIC enero 2024,vigente en expediente,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,9,Resumen modelación operación normal,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT101,aire,modelación,Aporte máximo anual PM10 como porcentaje del estándar,"0,03",0.03,,,=,%,operación normal,,respuesta SIC enero 2024,vigente en expediente,DOC010,Respuestas-SIC-02-y-SIC-03.pdf,9,Resumen modelación operación normal,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT102,ruido,fuente,NPS de emisión de chillers,104,104,,,=,dBA,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,53,Tabla 3-1 Fuentes de emisión sonora,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT103,ruido,fuente,NPS de emisión de generadores (documentación inicial),92,92,,,=,dBA,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,53,Tabla 3-1 Fuentes de emisión sonora,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,La respuesta SIC posterior usa nuevo modelo KOHLER y presenta nueva caracterización acústica.,
DAT104,ruido,fuente,NPS de emisión de transformador,80,80,,,=,dBA,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,53,Tabla 3-1 Fuentes de emisión sonora,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT105,ruido,fuente,NPS de emisión de banco de carga,98,98,,,=,dBA,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,53,Tabla 3-1 Fuentes de emisión sonora,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,,,
DAT106,ruido,norma departamental,Objetivo/límite diurno usado por DINACEA,70,70,,,=,dBA,operación,receptores del entorno,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,18,4.2.2 Ruido,DINACEA,criterio normativo,verificado contra fuente,,,
DAT107,ruido,norma departamental,Objetivo/límite nocturno usado por DINACEA,60,60,,,=,dBA,operación,receptores del entorno,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,18,4.2.2 Ruido,DINACEA,criterio normativo,verificado contra fuente,,,
DAT108,ruido,modelación,"Máximo modelado en límite del predio, operación normal",60,60,,,=,dBA,operación normal,límite del predio,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,18,4.2.2 Ruido,DINACEA,síntesis de autoridad,verificado contra fuente,,,"DINACEA señala tres receptores R13, R14 y R24 con valores de hasta 62 dBA."
DAT109,ruido,modelación,Máximo modelado en R13/R14/R24,62,62,,,=,dBA,operación normal nocturna,R13; R14; R24,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,18,4.2.2 Ruido,DINACEA,síntesis de autoridad,verificado contra fuente,Supera en 2 dBA el objetivo nocturno de 60 dBA usado por DINACEA.,,
DAT110,ruido,modelación mantenimiento,Máximo general modelado durante mantenimiento,60,60,,,=,dBA,mantenimiento diurno,receptores evaluados,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,19,4.2.2 Ruido,DINACEA,síntesis de autoridad,verificado contra fuente,,,R17 y R18 alcanzan hasta 65 dBA.
DAT111,ruido,modelación mantenimiento,Máximo modelado R17/R18 durante mantenimiento,65,65,,,=,dBA,mantenimiento diurno,R17; R18,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,19,4.2.2 Ruido,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT112,ruido,monitoreo,Campañas estacionales previstas durante primer año,4,4,,,=,campañas/año,primer año de operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,22,5.2 Lineamientos monitoreo,DINACEA,compromiso de monitoreo,verificado contra fuente,"Una medición en cada estación del año, con y sin mantenimiento de generadores.",,
DAT113,residuos,operación,Tasa anual — Residuos electro-electrónicos,33,33,,,=,t/año,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,20,Tabla 6,DINACEA,síntesis de PGR por autoridad,verificado contra fuente,,Los valores de esta tabla difieren en varias corrientes respecto del DP/PGR inicial; conservar para análisis de cambios.,Tasa estimada; DINACEA indica que el PGR debe actualizarse para la AAO.
DAT114,residuos,operación,Tasa anual — Aceites usados,26,26,,,=,t/año,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,20,Tabla 6,DINACEA,síntesis de PGR por autoridad,verificado contra fuente,,Los valores de esta tabla difieren en varias corrientes respecto del DP/PGR inicial; conservar para análisis de cambios.,Tasa estimada; DINACEA indica que el PGR debe actualizarse para la AAO.
DAT115,residuos,operación,Tasa anual — Filtros de aceite y petróleo,1,1,,,=,t/año,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,20,Tabla 6,DINACEA,síntesis de PGR por autoridad,verificado contra fuente,,Los valores de esta tabla difieren en varias corrientes respecto del DP/PGR inicial; conservar para análisis de cambios.,Tasa estimada; DINACEA indica que el PGR debe actualizarse para la AAO.
DAT116,residuos,operación,Tasa anual — Paños/trapos contaminados con aceite,1,1,,,=,t/año,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,20,Tabla 6,DINACEA,síntesis de PGR por autoridad,verificado contra fuente,,Los valores de esta tabla difieren en varias corrientes respecto del DP/PGR inicial; conservar para análisis de cambios.,Tasa estimada; DINACEA indica que el PGR debe actualizarse para la AAO.
DAT117,residuos,operación,Tasa anual — Envases de aceites y grasas,"1,5",1.5,,,=,t/año,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,20,Tabla 6,DINACEA,síntesis de PGR por autoridad,verificado contra fuente,,Los valores de esta tabla difieren en varias corrientes respecto del DP/PGR inicial; conservar para análisis de cambios.,Tasa estimada; DINACEA indica que el PGR debe actualizarse para la AAO.
DAT118,residuos,operación,Tasa anual — Envases de pintura,1,1,,,=,t/año,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,20,Tabla 6,DINACEA,síntesis de PGR por autoridad,verificado contra fuente,,Los valores de esta tabla difieren en varias corrientes respecto del DP/PGR inicial; conservar para análisis de cambios.,Tasa estimada; DINACEA indica que el PGR debe actualizarse para la AAO.
DAT119,residuos,operación,Tasa anual — Envases de productos químicos,22,22,,,=,t/año,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,20,Tabla 6,DINACEA,síntesis de PGR por autoridad,verificado contra fuente,,Los valores de esta tabla difieren en varias corrientes respecto del DP/PGR inicial; conservar para análisis de cambios.,Tasa estimada; DINACEA indica que el PGR debe actualizarse para la AAO.
DAT120,residuos,operación,Tasa anual — Cartuchos de tinta o toner,"0,5",0.5,,,=,t/año,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,20,Tabla 6,DINACEA,síntesis de PGR por autoridad,verificado contra fuente,,Los valores de esta tabla difieren en varias corrientes respecto del DP/PGR inicial; conservar para análisis de cambios.,Tasa estimada; DINACEA indica que el PGR debe actualizarse para la AAO.
DAT121,residuos,operación,Tasa anual — Tubos fluorescentes,1,1,,,=,t/año,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,20,Tabla 6,DINACEA,síntesis de PGR por autoridad,verificado contra fuente,,Los valores de esta tabla difieren en varias corrientes respecto del DP/PGR inicial; conservar para análisis de cambios.,Tasa estimada; DINACEA indica que el PGR debe actualizarse para la AAO.
DAT122,residuos,operación,Tasa anual — Chatarra metálica,79,79,,,=,t/año,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,20,Tabla 6,DINACEA,síntesis de PGR por autoridad,verificado contra fuente,,Los valores de esta tabla difieren en varias corrientes respecto del DP/PGR inicial; conservar para análisis de cambios.,Tasa estimada; DINACEA indica que el PGR debe actualizarse para la AAO.
DAT123,residuos,operación,Tasa anual — Plásticos,16,16,,,=,t/año,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,20,Tabla 6,DINACEA,síntesis de PGR por autoridad,verificado contra fuente,,Los valores de esta tabla difieren en varias corrientes respecto del DP/PGR inicial; conservar para análisis de cambios.,Tasa estimada; DINACEA indica que el PGR debe actualizarse para la AAO.
DAT124,residuos,operación,Tasa anual — Papel y cartón limpio,126,126,,,=,t/año,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,20,Tabla 6,DINACEA,síntesis de PGR por autoridad,verificado contra fuente,,Los valores de esta tabla difieren en varias corrientes respecto del DP/PGR inicial; conservar para análisis de cambios.,Tasa estimada; DINACEA indica que el PGR debe actualizarse para la AAO.
DAT125,residuos,operación,Tasa anual — Restos de madera,2,2,,,=,t/año,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,20,Tabla 6,DINACEA,síntesis de PGR por autoridad,verificado contra fuente,,Los valores de esta tabla difieren en varias corrientes respecto del DP/PGR inicial; conservar para análisis de cambios.,Tasa estimada; DINACEA indica que el PGR debe actualizarse para la AAO.
DAT126,residuos,operación,Tasa anual — Filtros de aire,21,21,,,=,t/año,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,20,Tabla 6,DINACEA,síntesis de PGR por autoridad,verificado contra fuente,,Los valores de esta tabla difieren en varias corrientes respecto del DP/PGR inicial; conservar para análisis de cambios.,Tasa estimada; DINACEA indica que el PGR debe actualizarse para la AAO.
DAT127,residuos,operación,Tasa anual — Asimilables a domésticos,110,110,,,=,t/año,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,20,Tabla 6,DINACEA,síntesis de PGR por autoridad,verificado contra fuente,,Los valores de esta tabla difieren en varias corrientes respecto del DP/PGR inicial; conservar para análisis de cambios.,Tasa estimada; DINACEA indica que el PGR debe actualizarse para la AAO.
DAT128,residuos,almacenamiento,Tiempo máximo de almacenamiento de varias corrientes peligrosas,1,1,,,=,año,operación,,PGR octubre 2023,vigente en expediente,DOC005,Plan-de-Gestion-de-Residuos.pdf,21,Tabla 4-3,Eleanor Applications S.R.L.,criterio de gestión,verificado contra fuente,,,El OCR de la tabla muestra 'Máx. 1 año' para varias corrientes; verificar visualmente la fila concreta antes de citar una corriente individual.
DAT129,GEI,electricidad,Factor de emisión del SIN usado por DINACEA,60,60,,,=,tCO2-eq/GWh,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,24,6.2.2 Emisiones de CO2,DINACEA,cálculo de autoridad,verificado contra fuente,Factor correspondiente al año 2022.,,
DAT130,GEI,electricidad,Emisiones anuales asociadas a electricidad,25.000,25000,,,=,tCO2-eq/año,operación máxima,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,24,6.2.2 Emisiones de CO2,DINACEA,cálculo de autoridad,verificado contra fuente,Calculado por DINACEA usando 420 GWh/año y 60 tCO2-eq/GWh.,,
DAT131,GEI,comparación nacional,Emisiones del sector energía Uruguay 2022 usadas como referencia,7.204,7204,,,=,Gg CO2-eq,referencia nacional,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,24,6.2.2 Emisiones de CO2,DINACEA,dato contextual de autoridad,verificado contra fuente,,,
DAT132,GEI,comparación nacional,Participación estimada del proyecto respecto del sector energía,"0,3",0.3,,,=,%,operación máxima,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,24,6.2.2 Emisiones de CO2,DINACEA,cálculo de autoridad,verificado contra fuente,,,
DAT133,clima,riesgo físico,Evaluación cuantitativa de sequía/ola de calor/inundación como riesgo operativo,no identificada,,,,=,,operación,,expediente completo,sin evaluación cuantificada,,EsIA-Teros-24102023.pdf; Informe-Final.pdf,53-95; 24,Revisión transversal,proponente / DINACEA,vacío de información,verificado contra fuente,,,"Se identifican pluviales, tormentas y contingencias, pero no se identificó una evaluación cuantitativa integrada de riesgo climático físico del data center."
DAT134,GEI,refrigerantes,Emisiones fugitivas de refrigerantes / Scope 1 equivalente,no cuantificadas,,,,=,,operación,,expediente completo,sin dato cuantificado,,DP-Teros-24102023.pdf; Informe-Final.pdf,47; 24,Revisión transversal,proponente / DINACEA,vacío de información,verificado contra fuente,,,"El expediente menciona refrigerantes, pero no se identificó carga, tipo, GWP ni tasa de fuga para estimar emisiones fugitivas."
DAT135,social,empleo operación,Personal estimado en etapa final,50,50,,,=,personas,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,6,2.4.2 Personal,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT136,social,empleo operación,Personal asociado directamente a operaciones,40,40,,,=,%,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,6,2.4.2 Personal,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT137,social,empleo construcción,Empleo promedio primera etapa constructiva,300-400,,300,400,rango,personas,construcción etapa 1,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,23,6.2.1 Generación de empleo,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT138,social,empleo construcción,Pico de empleo primera etapa constructiva,~800,800,,,≈,personas,construcción etapa 1,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,23,6.2.1 Generación de empleo,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT139,social,cronograma construcción,Duración de primera etapa constructiva,26,26,,,=,meses,construcción etapa 1,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,23,6.2.1 Generación de empleo,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT140,tránsito,operación,Camiones inducidos por mes,~10,10,,,≈,camiones/mes,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,8,2.4.4 Tránsito inducido,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT141,tránsito,operación,Vehículos personales diarios estimados,28,28,,,=,vehículos/día,operación,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,8,2.4.4 Tránsito inducido,DINACEA,síntesis de autoridad,verificado contra fuente,,,
DAT142,participación,manifiesto,Apreciaciones recibidas durante puesta de manifiesto,421,421,,,=,apreciaciones,participación pública,,evaluación final 2024,vigente en expediente,DOC015,Informe-Final.pdf,23,6.2 Puesta de manifiesto,DINACEA,registro administrativo,verificado contra fuente,,,
DAT143,biodiversidad/suelo/patrimonio,significancia,Desplazamiento de especies por presencia física de la obra,Baja,,,,=,categoría,construcción,,EsIA octubre 2023,vigente en expediente,DOC003,EsIA-Teros-24102023.pdf,93,Tabla 6-1,Eleanor Applications S.R.L.,valoración de impacto,verificado contra fuente,El EsIA indica 'No se requieren' medidas específicas para estos impactos.,,La categoría corresponde a la valoración del proponente; no equivale a ausencia de impacto.
DAT144,biodiversidad/suelo/patrimonio,significancia,Pérdida de ecosistemas por presencia física de la obra,Baja,,,,=,categoría,construcción,,EsIA octubre 2023,vigente en expediente,DOC003,EsIA-Teros-24102023.pdf,93,Tabla 6-1,Eleanor Applications S.R.L.,valoración de impacto,verificado contra fuente,El EsIA indica 'No se requieren' medidas específicas para estos impactos.,,La categoría corresponde a la valoración del proponente; no equivale a ausencia de impacto.
DAT145,biodiversidad/suelo/patrimonio,significancia,Modificación de usos del suelo por presencia física de la obra,Baja,,,,=,categoría,construcción,,EsIA octubre 2023,vigente en expediente,DOC003,EsIA-Teros-24102023.pdf,93,Tabla 6-1,Eleanor Applications S.R.L.,valoración de impacto,verificado contra fuente,El EsIA indica 'No se requieren' medidas específicas para estos impactos.,,La categoría corresponde a la valoración del proponente; no equivale a ausencia de impacto.
DAT146,biodiversidad/suelo/patrimonio,significancia,Pérdida de patrimonio arqueológico por presencia física de la obra,Baja,,,,=,categoría,construcción,,EsIA octubre 2023,vigente en expediente,DOC003,EsIA-Teros-24102023.pdf,93,Tabla 6-1,Eleanor Applications S.R.L.,valoración de impacto,verificado contra fuente,El EsIA indica 'No se requieren' medidas específicas para estos impactos.,,La categoría corresponde a la valoración del proponente; no equivale a ausencia de impacto.
DAT147,hidrología,pluviales,Número de lagunas de amortiguación asociadas al sistema,2,2,,,=,lagunas,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,22,3.2 Drenajes y lagunas de amortiguación,Eleanor Applications S.R.L.,dato declarado,verificado contra fuente,Una laguna descarga a la cañada Gasser y la otra a una alcantarilla existente.,,
DAT148,hidrología,aguas subterráneas,Extracción de agua subterránea para operación,no prevista / no identificada,,,,=,categórico,operación,,DP octubre 2023,vigente en expediente,DOC002,DP-Teros-24102023.pdf,21,3.2 Suministro de agua,Eleanor Applications S.R.L.,ausencia de fuente,verificado contra fuente,El DP declara que toda el agua utilizada es suministrada por la red de agua potable de PDLC.,,No equivale a una caracterización hidrogeológica del acuífero; indica la fuente de abastecimiento declarada.
