id_hallazgo,tema,tipo_hallazgo,subtipo,variable_asunto,situacion_inicial,valor_inicial,unidad,documento_inicial,pagina_inicial,seccion_inicial,situacion_posterior,valor_posterior,documento_posterior,pagina_posterior,seccion_posterior,intervencion_dinacea,documento_autoridad,pagina_autoridad,condicion_final,numeral_resolucion,pagina_resolucion,estado_final,materialidad,interpretacion_provisional,verificacion,caveat
CHG035,residuos,diferencia numérica,estimación de generación,Tasa anual — Papel y cartón limpio,Estimación de generación en DP/PGR inicial.,42,t/año,DP-Teros-24102023.pdf,50,Tabla 5-3 Identificación de residuos,El Informe Final presenta una tasa distinta y atribuye la tabla al PGRSI.,126,Informe-Final.pdf,20,Tabla 6 Caracterización de residuos,"DINACEA exige actualizar el PGRSI para AAO, con atención particular a RAEE.",Informe-Final.pdf,29; 31,Versión actualizada del PGR en PGAO.,5.a.ii,6,diferencia documental; actualización futura requerida,alta,La diferencia es verificable entre el DP y la tabla final; no se encontró en el expediente disponible una explicación fila por fila del cambio.,verificado contra documentos indicados,La tabla del Informe Final indica como fuente el PGRSI; por ello conviene verificar si existió una versión intermedia/actualizada no distinguida como archivo autónomo.
CHG036,residuos,diferencia numérica,estimación de generación,Tasa anual — Restos de madera,Estimación de generación en DP/PGR inicial.,5,t/año,DP-Teros-24102023.pdf,50,Tabla 5-3 Identificación de residuos,El Informe Final presenta una tasa distinta y atribuye la tabla al PGRSI.,2,Informe-Final.pdf,20,Tabla 6 Caracterización de residuos,"DINACEA exige actualizar el PGRSI para AAO, con atención particular a RAEE.",Informe-Final.pdf,29; 31,Versión actualizada del PGR en PGAO.,5.a.ii,6,diferencia documental; actualización futura requerida,media,La diferencia es verificable entre el DP y la tabla final; no se encontró en el expediente disponible una explicación fila por fila del cambio.,verificado contra documentos indicados,La tabla del Informe Final indica como fuente el PGRSI; por ello conviene verificar si existió una versión intermedia/actualizada no distinguida como archivo autónomo.
CHG037,residuos,diferencia numérica,estimación de generación,Tasa anual — Filtros de aire,Estimación de generación en DP/PGR inicial.,5,t/año,DP-Teros-24102023.pdf,50,Tabla 5-3 Identificación de residuos,El Informe Final presenta una tasa distinta y atribuye la tabla al PGRSI.,21,Informe-Final.pdf,20,Tabla 6 Caracterización de residuos,"DINACEA exige actualizar el PGRSI para AAO, con atención particular a RAEE.",Informe-Final.pdf,29; 31,Versión actualizada del PGR en PGAO.,5.a.ii,6,diferencia documental; actualización futura requerida,media,La diferencia es verificable entre el DP y la tabla final; no se encontró en el expediente disponible una explicación fila por fila del cambio.,verificado contra documentos indicados,La tabla del Informe Final indica como fuente el PGRSI; por ello conviene verificar si existió una versión intermedia/actualizada no distinguida como archivo autónomo.
CHG038,residuos,diferencia numérica,estimación de generación,Tasa anual — Asimilables a domésticos,Estimación de generación en DP/PGR inicial.,40,t/año,DP-Teros-24102023.pdf,50,Tabla 5-3 Identificación de residuos,El Informe Final presenta una tasa distinta y atribuye la tabla al PGRSI.,110,Informe-Final.pdf,20,Tabla 6 Caracterización de residuos,"DINACEA exige actualizar el PGRSI para AAO, con atención particular a RAEE.",Informe-Final.pdf,29; 31,Versión actualizada del PGR en PGAO.,5.a.ii,6,diferencia documental; actualización futura requerida,alta,La diferencia es verificable entre el DP y la tabla final; no se encontró en el expediente disponible una explicación fila por fila del cambio.,verificado contra documentos indicados,La tabla del Informe Final indica como fuente el PGRSI; por ello conviene verificar si existió una versión intermedia/actualizada no distinguida como archivo autónomo.
CHG039,residuos,inconsistencia de procedencia,PGRSI,Correspondencia entre PGR autónomo y Tabla 6 del Informe Final,"El PGR/DP de octubre 2023 contiene tasas iniciales, por ejemplo 2,5 t/año de aceites, 0,5 de envases químicos, 30 de chatarra y 42 de papel/cartón.","2,5; 0,5; 30; 42",t/año,DP-Teros-24102023.pdf,49-50,Tabla 5-3,"La Tabla 6 del Informe Final, rotulada 'Fuente: Plan de Gestión de Residuos Sólidos Industriales', muestra 26; 22; 79; 126 t/año para esas mismas corrientes.",26; 22; 79; 126,Informe-Final.pdf,20,Tabla 6,DINACEA además exige una actualización del PGRSI para la AAO.,Informe-Final.pdf,29; 31,Versión actualizada del PGR.,5.a.ii,6,procedencia/versionado no completamente trazable,alta,El problema no es solo que las cifras cambien: la tabla final atribuye los nuevos valores al PGRSI sin identificar claramente en esta colección una versión autónoma que explique la actualización.,verificado contra documentos indicados,"Antes de publicar como 'error', verificar si existió una versión intermedia del PGR dentro de un anexo o presentación no separada."
CHG040,residuos / RAEE,cuantificación insuficiente,RAEE,Estimación de residuos electro-electrónicos,DP/PGR e Informe Final mantienen una estimación de 33 t/año de RAEE.,33,t/año,DP-Teros-24102023.pdf,49,Tabla 5-3,DINACEA considera necesario mejorar la cuantificación para contemplar recambio de servidores y eventual abandono.,33 no considerado suficiente como cierre,Informe-Final.pdf,29,7.4 Gestión de residuos sólidos,La autoridad exige mejor cuantificación y nota de aceptación del gestor.,Informe-Final.pdf,29,PGR actualizado en AAO.,5.a.ii,6,pendiente para AAO,alta,"Aunque la cifra no cambia entre tablas, la autoridad indica que no captura adecuadamente escenarios clave del ciclo de vida.",verificado contra documentos indicados,
CHG041,GEI,impacto incorporado tardíamente,electricidad / CO2,Cuantificación de GEI por consumo eléctrico,DINACEA reconoce que este aspecto no había sido considerado previamente.,no considerado previamente,GEI,Informe-Final.pdf,23,6.2.2 Emisiones de CO2,"Tras inquietudes de la puesta de manifiesto, DINACEA estima 25.000 tCO2-eq/año usando 420 GWh/año y factor 60 tCO2-eq/GWh (2022).",25.000,Informe-Final.pdf,24,6.2.2 Emisiones de CO2,"El análisis se incorpora durante la evaluación final, no como parte original del EsIA.",Informe-Final.pdf,23-24,No se identifica condición específica de reducción de GEI.,,,impacto evaluado tardíamente; sin meta de mitigación,alta,"La dimensión climática cuantitativa aparece después de la participación pública, no desde el diseño inicial de la evaluación.",verificado contra documentos indicados,La cifra corresponde a emisiones asociadas a electricidad de red con factor 2022; no es un inventario completo de ciclo de vida.
CHG042,GEI,brecha de alcance,Scopes equivalentes,Cobertura de fuentes de GEI,El expediente cuantifica principalmente CO2 asociado a electricidad de red.,25.000,tCO2-eq/año,Informe-Final.pdf,24,6.2.2 Emisiones de CO2,DINACEA califica las emisiones de motores de emergencia como insignificantes por baja utilización; no se identifican emisiones fugitivas cuantificadas de refrigerantes ni un Scope 3 equivalente.,parcial,Informe-Final.pdf; DP-Teros-24102023.pdf,24; 47,6.2.2; Insumos químicos,No se identifica exigencia de inventario GEI integral en la Resolución.,Resolucion-Ministerial-644-2024.pdf,4-6,Sin condición GEI específica.,,,brecha no resuelta,alta,La evaluación climática cuantitativa no equivale a un inventario completo de emisiones operativas y de cadena de valor.,verificado contra documentos indicados,No asignar formalmente Scopes 1/2/3 como si fueran categorías usadas por el EsIA; aquí se usa la equivalencia analítica.
CHG043,clima / resiliencia,brecha metodológica,riesgo físico,"Evaluación integrada de calor, sequía, inundación y eventos extremos","El expediente describe pluviales, tormentas y contingencias y contiene un apagón real de 65 h por ciclón subtropical.",eventos tratados de forma fragmentaria,riesgo físico,DP-Teros-24102023.pdf; Respuestas-SIC-02-y-SIC-03.pdf,22; 55-58; 5,Pluviales/contingencias; Respuesta 1.d,No se identificó una evaluación cuantitativa integrada de riesgo climático físico para la operación del data center.,no identificada,Informe-Final.pdf,24; 28,Clima/aire/emergencia,"La autoridad gestiona parte del riesgo mediante Plan de Emergencia y condiciones operativas, no mediante un estudio climático integrado.",Informe-Final.pdf,28; 32-33,Plan de Emergencia ante corte de suministro.,5.c,6,brecha parcialmente gestionada,alta,"El cambio a enfriamiento por aire reduce exposición hídrica, pero el expediente no cuantifica sistemáticamente sensibilidad a calor extremo, sequía o cambio climático.",verificado contra documentos indicados,"Conclusión basada en ausencia de una evaluación integrada identificada en las fuentes revisadas, no en ausencia absoluta de toda mención climática."
CHG044,gestión ambiental,fortalecimiento regulatorio,PGAC,Nivel de detalle del Plan de Gestión Ambiental de Construcción,"El proponente presenta PGAC con procedimientos de residuos, efluentes, ruido, polvo, derrames, incendios y otros.",PGAC presentado,plan,Plan-de-Gestion-Ambiental-de-Construccion.pdf,1-50,PGAC,"DINACEA acepta el enfoque general pero exige versión actualizada antes de obra, profundizando residuos de obra/tierras, tránsito, efluentes y relacionamiento comunitario, con responsabilidades, registros e indicadores.",actualización obligatoria,Informe-Final.pdf,31,7.8 Gestión ambiental en construcción,DINACEA convierte la actualización en condición previa al inicio de construcción.,Informe-Final.pdf,31-32,PGA-C actualizado y aprobado antes de construir.,1.c,4,pendiente previo a obra,alta,La existencia del PGAC original no equivalió a aprobación definitiva para construcción.,verificado contra documentos indicados,
CHG045,social / comunidad,requisito añadido,relacionamiento comunitario,Programa de relacionamiento comunitario,El expediente incluye estudio de percepción y talleres de acercamiento con la comunidad.,acciones previas,gestión social,Informe-Final.pdf,30,7.7 Percepción social,DINACEA exige formalizar un plan/programa de relacionamiento comunitario tanto para construcción como para operación.,programa formal exigido,Informe-Final.pdf,30-32,7.7-7.9,La obligación se incorpora a PGA-C/PGAO.,Informe-Final.pdf,31-32,Programa de relacionamiento comunitario en PGA-C/PGAO.,1.c; 5.a.v,4; 6,pendiente de instrumentación,media,La evaluación pasa de actividades de comunicación a una obligación programática con gestión de consultas/reclamos.,verificado contra documentos indicados,
CHG046,evaluación ambiental,narrativa vs condiciones,impactos residuales,Conclusión general de aceptabilidad,"DINACEA concluye que, con las condiciones sugeridas, no son esperables impactos residuales inadmisibles.",aceptable con condiciones,significancia,Informe-Final.pdf,32,8 Conclusiones y recomendaciones,"La autorización final incorpora múltiples condiciones: actualización PGA-C, monitoreo/mitigación acústica, fichas de generadores, plan de emergencia, PGR actualizado, PUE anual, comunidad y efluentes.",condiciones múltiples,Resolucion-Ministerial-644-2024.pdf,4-6,Numerales 1 y 5,La aceptabilidad se formula expresamente condicionada a la aplicación de medidas y verificaciones futuras.,Informe-Final.pdf,32-33,Condiciones 1-6 de la resolución.,1-6,4-6,aceptación condicionada,alta,"No debe citarse 'sin impactos inadmisibles' como conclusión incondicional: depende de medidas, monitoreo y cierres posteriores en AAO.",verificado contra documentos indicados,No es una contradicción; es una condición lógica de la conclusión de DINACEA.
